name	author	downloadCount	description	creationTime	downloadRate
CC:C Bridge	Sammy_echt	6600000	Adds compatibility between CC: Tweaked and Create through more peripherals!	1039	6352.261790182868
Craftable Create Casings (Forge/Fabric)	Lord_Of_Crumbs	136000	Adds a recipe for Create's casings just in case-ing you need it.	577	235.70190641247834
Create: Fabilium (Create: decorations, previously)	kenimoT	20400	Adds some decorations to the create mod and new tools	587	34.75298126064736
TFC Rosia Create Compat	Jerome226	2200	This mod adds integration for Rosia Machines on Create stuff. Made to be used with...	587	3.7478705281090288
Create: Netherless (Forge)	DariusZeBaguette	2600000	🚫Craft All the nether ressources without leaving the Overworld!	713	3646.5638148667604
Mechanical Machinery	Bennyboy1695	1300	A create addon mod implementing a bunch of different machines	740	1.7567567567567568
EE: Create	Ridanisaurus	674000	An Add-on for Create integration with Emendatus Enigmatica which handles Registry and Data-Gen.	877	768.5290763968073
Expanding Technologies	curryducker	71200	Expanding Technologies is an addon that expands the Create mod with new features!	705	100.99290780141844
Little Contraptions	EDToaster	12500000	Little add on mod that lets you put a Create mod contraption on a Little...	1180	10593.22033898305
Create Sabers	Leroidesafk	3500000	⚙️ Adds new light sabers to Create	704	4971.590909090909
Create: Concrete	Juses	20	Create addon adding automation of custom, self solidifying concrete for filling in spaces, or just...	614	0.03257328990228013
Create: Dall	magminer54	32500	An Additon to the Create mod.	770	42.20779220779221
Create: Upgraded Armor	Plunger_Boy	400000	Upgrade your netherite armor with Create!	614	651.4657980456026
Create Decoration Casing	TheLynkYT	681000	Add more decoration block for Minacraft and Create Mod	894	761.744966442953
More Tools and Stuff	Sanderk35	576	A mod that adds more stuff to minecraft	629	0.9157392686804452
Tool's Complement: Create	Mrthomas20121	5400	add Tool's Complement Tools made from create materials.	622	8.681672025723472
Create: BioFuel	tribnutzz	25100	An overpowered-ish Create based fuel system	816	30.75980392156863
Create: Frozen Flavors	Chilllliii	15400	Create mod addon that adds Ice Cream!	641	24.024960998439937
Create Editions	TheDukeOfCamorr	165000	A Tweak Mod for Create	645	255.8139534883721
Create: Trains On Trains	Sindarin27	253000	A Create extension that allows you to glue a train to a train	643	393.46811819595644
Create Cherry Addon	Kaffeekirsche	20000	This is an Addon for Create. It is used in the MC meets Create Modpack!	652	30.67484662576687
Create: Alloyed Guns	End_Rage	354000	A addon that adds many guns to the create mod.	902	392.4611973392461
PokeParts: Pixelmon + Create compat	ViktorLivingshield	5000	Create + Pixelmon compatibility	659	7.587253414264036
Create Recycle Everything	nocubeyt	5600000	Use Crushing Wheels to recycle useless items and clean up the storage. Perfect for modpacks.	730	7671.232876712329
Pamps Expansion	Agony_247	379	Compatability mod for mods made by The Pamps.	682	0.5557184750733137
Origins: Accessibilities	DragonsPlus	2200000	A addon for the Origins mod, making your Origins life easier	1019	2158.979391560353
Create Chunkloading	embeddedt	7100000	Adds a chunkloader block that works with Create	1456	4876.373626373626
Create x CreatePlus (Forge) ([0.5.1][0.5.1a])	TTPeter	5300	Compatibility for Create Plus and Create(0.5.1+) under MC 1.18.	700	7.571428571428571
TerraFirmaBoiler2	redstoneguy10ls	4000	Create's steam boiler and TerraFirmaCraft's Charcoal forge Compatibility. for Nonbiri Create Server's Modpack ...	701	5.706134094151213
Create: Foundry	CommanderT3706	18800	Use your Create skills and machines to create the ultimate ore processor!	729	25.78875171467764
Create Electrified	Timeship	14400	Bridging Forge Energy and Create Mod RPM	929	15.500538213132401
Create Infernal Expansion Compat	celsiusqc	74200	Adds compatibility recipes between Create and Infernal Expansion	752	98.67021276595744
Create Ad Astra Compat	ssm227	2800000	Adds crushed ore compatability for ad astra ores	814	3439.8034398034397
Mechanical Botania	thedoctorofdoctoring	77900	Botania Mana -> Create RPM	710	109.71830985915493
Colorful Azaleas Trees - Create Compat	TheonlyTazz	112	A Compat Datapack between Colorful Azaleas Trees and Create	716	0.1564245810055866
Create: Electric Stonks	nullBlade	466000	This mod adds integration between create and electricity	931	500.53705692803436
Create: Bronze Age	Raeeeee	539	A precise mechanical addon for the Create mod	730	0.7383561643835617
Create: Random Adittions	SpringerPlayz29	2100	An Addon for Create mod and a compatibility mod for Speng Factory adding various blocks...	905	2.320441988950276
TFC Create	SeriousCreeper	471000	Mod that provides some compatibility between TerraFirmaCraft and Create	901	522.7524972253052
Create Theme Armor Addon	zrikon	63000	A small addition to Create for a new beautiful armor	737	85.48168249660787
create structures addons	morgan_iiii	5200	add structures to create	741	7.017543859649122
Sleepable Create	baguchiMC	320000	This mod make Sleep on bed in Create Train!	748	427.80748663101605
Create Shrunk	9Octo	26600	This Create themed mod adds tools to shrink yourself	817	32.55813953488372
Proton's Create Additions	ProtonPLUS	6900	Expanding the create mod and minecraft!	788	8.756345177664974
Create: Industrial Chemistry	Forsteri123	44100	Chemical Engineering with the Create Mod	885	49.83050847457627
Create: Petrol Powered	Forsteri123	8300	End-game energy source	772	10.751295336787564
jurassic prelude: prehistoric	rekzx128	4800	Revives dinosaurs into minecraft!!	995	4.824120603015075
Saro´s Create Support For MrCrayfish's Vehicle	Sarocesch	1300	Adds Support From MrCrayfish's Vehicle to Create	797	1.631116687578419
Create: Complexities	thegrandslam2002	44	Bringing complex production to your Create factories!	806	0.05459057071960298
Discover Addon	Jasmine	3100	Create addon that adds more things to explore and process!	1035	2.995169082125604
TerraFirmaBoiler	CKenJa	4200	Create's steam boiler and TerraFirmaCraft's Charcoal forge Compatibility.	819	5.128205128205129
Create: Brass Coated	stevreng	122000	An addon to Create to coat andesite blocks with brass!	865	141.04046242774567
Create InfiniDrill	Drazuam	108000	Adds hose-pulley style functionality to the Create mechanical drill.	1059	101.98300283286119
Milkyway Core	PouffyDev	12400	Core mod for the milkyway SMP modpack	1122	11.05169340463458
Create gear addon	xaros74	505000	Create addon who add more gears for decoration	1338	377.4289985052317
Sequenced Item JS	eddye0820	292	Custom Sequenced Item to use with KubeJS	843	0.34638196915776986
More Mounted Storages	juh9870	685000	Allows more modded storages to be used as a part of Create moving contraption	1304	525.3067484662577
Create: Molten Geodes	Apothicon	160000	An add-on for Create adding a renewable source of orestones.	1031	155.18913676042678
Haywire Robots, Bandits and Guns- A Scorched Bronze Addon	Ribs498	1200000	Addon mod for my upcoming Scorched Bronze V2 Modpack!	895	1340.782122905028
Create: Pixelfactory	BinnQuinn	121000	A Create Mod addon for Pixelmon Compatibilities!	922	131.236442516269
Create More Potatoes [Forge]	Forsteri123	16800	Potato product, Projectable Foods	926	18.14254859611231
Create Innovations	Bitboard	7800	A collection of recipe concepts for modpacks	1273	6.12725844461901
Create: Apothic Enchanting	DragonsPlus	667	A addon for Create and Apothic Enchanting. Compat with C:EI.	10	66.7
Ars Technica	zerobuncle	1600000	A Create-centered addon mod for Ars Nouveau	279	5734.767025089605
CreateBarters	techgamingcore	108	A small but great datapack that adds create mod trades to piglins.	252	0.42857142857142855
Create: Ultimate Factory [Forge/Fabric/NeoForge]	robinfrt	1800000	An addon for the Create mod developed to increase automation possibilities, adding 25 (reasonably) balanced...	473	3805.4968287526426
Create: Cyber Goggles	ForgeStove	9400	A mod that allows players to use the features of Create.	68	138.23529411764707
Create Compression	flipperpanda706	127000	Adds many compressed blocks with the theme of create	556	228.41726618705036
Create Crafts & Additions	MRHminer	65900000	Electrifying the Create mod!	1596	41290.7268170426
The Winter Rescue: Frosted Heart	yuesha_yc	344000	Survive the Blizzard, Uncover the Secret to the Great Winter, and Rekindle Humanity's Last Hope	1341	256.5249813571961
Create: Steam Powered (1.16/1.18/1.20)	yuesha_yc	2100000	Diversifying Create Mod in the Steam Age (now on 1.20/1.18)	1341	1565.9955257270694
Create: Vintage	Blue_PHS	5000	Much vintage, some improvements, Unofficial Port of Vintage: Improvements with Create v6 compatibility.	59	84.7457627118644
Create Factory Logistics	zznty	8700	Ever wondered why there are logistics packages, but no logistics jars? Let's fix this!	89	97.75280898876404
Applied Schematicannon	zhichaoxi2006	2500	a simple mod let Schematicannon can extract item from ME Network	20	125
ChaosZPack [Lost Cities] Better Cities / Zombie Apocalypse / Abandoned Structures / TacZ	ChaosCraft_HD	39100	A Mod made for adding more structures into Lostcities	84	465.4761904761905
Create : Arm-made Barbeque	P1nero	1400	Make Mechanical Arm interacting with Grill and Basin from BBQ Delight.	13	107.6923076923077
Create: Ore Processing	laptoppunk	131	Adds new processing chains for vanilla ores.	13	10.076923076923077
Create: Pattern Schematics	CakeIsTastyDeveloper	1100000	Build with repeating schematics!	317	3470.031545741325
Create: Extra Gauges	LiukRast	7000	A Create child library + mod incentrated on Factory Gauges	29	241.3793103448276
Sophisticated Backpacks Create Integration	P3pp3rF1y	904000	Sophisticated Backpacks on create contraptions	62	14580.645161290322
Sophisticated Storage Create Integration	P3pp3rF1y	1000000	Full Featured Sophisticated Storage on Create Contraptions	77	12987.012987012988
Create Cogs Invaders	Lalusko	2000	New invading automatons will compete with you for resources	55	36.36363636363637
Better Unloading	seraphaestus	307	A databack to improve Create trains via (un)loadable minecart contraption cargo	880	0.3488636363636364
Ghost's Questionable Consumables	ghostcody	676	A spicy collection of questionable consumptions for you and your friends!	893	0.7569988801791714
Create: Connected Block Textures	stevreng	147000	Decorate your structures with connecting blocks	990	148.4848484848485
Create Compats	nocubeyt	357000	Adds compatibility with other mods, like The Aether, Galosphere, Undergarden for modpacks.	903	395.3488372093023
Create: Extended Flywheels	Rabbitminers	1200000	A small mod to add on to Create by adding numerous new flywheels and bringing...	1022	1174.1682974559687
Create: Mounted Storages	Lgmrszd	360000	Allows more modded storages to be used as a part of Create moving contraptions. Fork...	922	390.45553145336225
RSTM	GuwyTheSlimeBoi	797	It's a mod about space travel, assembly lines and complex machines	1044	0.7634099616858238
Potato Canon Plus [FORGE]	To0pa	78500	🥔Makes all food compatible with the potato cannon	1028	76.36186770428016
Big Sip	possible_triangle	2700	addon for the create mod introducing various drinks and other content surrounding them	1043	2.588686481303931
Tetra Pak	Noobulus_Dos	2800000	An add-on mod for Tetra that adds support for several new materials	1530	1830.0653594771243
CreateFoodAdditions	StacheSebastian	249000	Adds Food to Create	1478	168.47090663058188
CreateArmoredCopperBacktanks	StacheSebastian	67000	Adds Armored Backtanks to Create	1072	62.5
Create - ErasFlo	Ditti_	250	🥫 additional crops and food recipes 🥫	1021	0.24485798237022527
Potato Canon Plus [DATAPACK]	To0pa	416	🥔Makes all food compatible with the potato cannon	1028	0.4046692607003891
Create: Computing	sascha_to	870	An addon for Create that adds ComputerCraft "integration" in form of peripheral blocks and more.	1046	0.8317399617590823
Create: Condensed Milk	smorb42	37000	An addon for Create that makes Deepslate and Netherack renewable.	1050	35.23809523809524
Create Curios	luis_joga	367000	A compat layer to use Create engineer's goggles in Curios head slot	1084	338.5608856088561
PixelCreate Compat	DigiRai	163000	Adds items and recipes to create compatibility between pixelmon and the create mod	1096	148.72262773722628
Create: Supercharged	phicctv	380000	Reimplements Chromatic Compound and it's alloys in a new farmable way!	1140	333.3333333333333
HARDIS	Noach05	7500	Hard And Relatively Difficult In Style (HARDIS) Mod	1553	4.829362524146813
